Year,State,Male_Electors,Female_Electors,Total_Electors,Male_Voters,Female_Voters,Total_Voters
2004,UTTAR PRADESH,754077,637353,1391430,390727,215891,606618
2004,UTTAR PRADESH,786406,630120,1416526,356470,219919,576389
2004,UTTAR PRADESH,740016,610029,1350045,358170,284957,643127
2004,UTTAR PRADESH,780616,616429,1397045,395790,305192,700982
2004,UTTAR PRADESH,770646,670578,1441224,347654,284444,632098
2004,UTTAR PRADESH,769309,662693,1432002,379069,310148,689217
2004,UTTAR PRADESH,712260,598945,1311205,422509,324105,746614
2004,UTTAR PRADESH,821863,679843,1501706,460718,329323,790041
2004,UTTAR PRADESH,854827,714892,1569719,423340,307066,730406
2004,UTTAR PRADESH,801608,682998,1484606,397305,272274,669579
2004,UTTAR PRADESH,793732,636568,1430300,411202,208329,619531
2004,UTTAR PRADESH,781662,645622,1427284,413981,307482,721463
2004,UTTAR PRADESH,773683,651340,1425023,398647,312709,711356
2004,UTTAR PRADESH,838475,719874,1558349,429617,333909,763526
2004,UTTAR PRADESH,793266,680790,1474056,380951,296026,676977
2004,UTTAR PRADESH,815085,700591,1515676,405181,308896,714077
2004,UTTAR PRADESH,820472,714883,1535355,395234,316052,711286
2004,UTTAR PRADESH,793021,683666,1476687,505062,363970,869032
2004,UTTAR PRADESH,869606,711247,1580853,435452,268934,704386
2004,UTTAR PRADESH,818295,669401,1487696,393849,239880,633729
2004,UTTAR PRADESH,895629,765503,1661132,442307,282490,724797
2004,UTTAR PRADESH,891750,738537,1630287,449708,278295,728003
2004,UTTAR PRADESH,768102,641415,1409517,444717,310456,755173
2004,UTTAR PRADESH,863970,694124,1558094,409652,246798,656450
2004,UTTAR PRADESH,818941,665174,1484115,348289,207043,555332
2004,UTTAR PRADESH,695686,583701,1279387,320459,186196,506655
2004,UTTAR PRADESH,698340,585575,1283915,328681,197605,526286
2004,UTTAR PRADESH,653794,531441,1185235,372465,231590,604055
2004,UTTAR PRADESH,811087,715233,1526320,497354,322282,819636
2004,UTTAR PRADESH,721278,588878,1310156,371966,207782,579748
2004,UTTAR PRADESH,668074,539418,1207492,328158,176564,504722
2004,UTTAR PRADESH,756698,612891,1369589,404629,236740,641369
2004,UTTAR PRADESH,784120,643111,1427231,389780,228918,618698
2004,UTTAR PRADESH,704412,560208,1264620,442290,261611,703901
2004,UTTAR PRADESH,747469,599204,1346673,494679,264657,759336
2004,UTTAR PRADESH,757826,608675,1366501,442276,223182,665458
2004,UTTAR PRADESH,669500,541502,1211002,465257,254540,719797
2004,UTTAR PRADESH,685569,555350,1240919,413635,236678,650313
